index,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12
1,-0.548031903,-0.828123606,-0.552783169,-0.202678971,-0.269561036,-0.266353957,-0.646522384,-0.702767112,-0.926860015,-0.560093125,-0.617033608,-0.587159128
2,-0.896649484,-0.738511406,-0.821765843,-0.316063494,-0.420933878,-0.423994526,-0.584270792,-0.608287506,-0.759527891,-0.554661144,-0.727861944,-0.64570111
3,-0.356236876,-0.601031573,-0.493134679,-0.29131817,-0.270285315,-0.309733856,-0.417644911,-0.484887148,-0.566314332,-0.38086777,-0.482574578,-0.589780591
4,-1.008064166,-0.492137514,-0.823405107,-0.351499735,-0.394041062,-0.472141883,-0.682133034,-0.734196718,-0.838340639,-0.714294708,-0.749486132,-0.578254113
5,-0.411085185,-0.293348484,-0.455053754,0.000266685,-0.084820347,-0.075286817,-0.243867176,-0.293084514,-0.405904746,-0.577355426,-0.541202853,-0.502765324
6,1.100431156,0.868038937,1.092557977,0.248264535,0.321048093,0.334011104,0.508024426,0.61315313,0.855006533,0.507547559,0.549994392,0.434308774
7,2.332216989,1.742973704,2.170388386,0.386295452,0.449379619,0.608458381,1.362262144,1.126509146,1.68753993,1.422373533,1.454658799,1.105608326
8,2.026206993,1.67996531,2.125207677,0.475804399,0.583583857,0.73572968,1.460257912,1.215758867,1.589552224,1.416589547,1.465171572,1.103284894
9,2.043527924,1.500344214,1.866511162,0.469510885,0.473680189,0.597534541,1.18152235,1.076600255,1.328101373,1.302299994,1.290273143,1.09202849
10,1.123121204,1.233718266,1.340563689,0.601397818,0.520634741,0.662503158,0.945757664,0.64470597,0.980463681,0.730291346,1.007448205,0.674516111
11,1.270365935,1.240178301,1.335612042,0.504553399,0.418276478,0.475227906,0.498005556,0.42589589,0.60754185,0.344827942,0.882460395,0.577034577
12,1.19689492,1.423296571,1.303092879,0.69698022,0.584726964,0.604677453,0.313005884,0.309444851,0.373562828,0.169511306,0.952494807,0.622633207
13,0.805270707,1.123343914,1.275475572,0.313437667,0.236338742,0.308366966,0.112825535,0.058828976,0.171693699,0.170543441,0.803293648,0.469337995
14,0.914838873,1.165757607,1.036988792,0.490878322,0.427061862,0.399981907,0.398486774,0.74224289,0.775420116,0.730498026,1.058412941,0.919572236
15,0.786169323,1.072487869,0.91395375,0.784406249,0.693207961,0.734665797,0.875961997,0.763759285,0.650038891,0.587154755,0.815912864,0.533037501
16,0.435367368,0.960550018,0.595843702,1.321793509,1.314197386,1.32220728,1.324694616,1.242881559,0.859463661,0.876741366,0.89610735,0.664797609
17,0.362874459,1.234359212,0.685943557,1.873449158,1.723845325,1.701559791,1.772153993,1.524243327,1.015540031,0.965832619,1.02818058,0.796327781
18,0.419571943,0.853662523,0.581538131,1.545138993,1.546870635,1.393151595,1.257292459,1.265783048,0.789763483,0.891417846,0.72367063,0.908004367
19,0.704926947,0.730194668,0.830247741,0.570195845,0.727599943,0.733065275,0.646578574,0.829450608,0.888692803,1.436563346,1.664918978,1.569499526
20,0.792448278,0.648337811,0.638214717,0.381516923,0.665997861,0.583892037,0.614481936,0.940801421,0.984899773,2.108046046,2.078172518,2.051881585
21,0.787234352,0.513567369,0.694818262,0.337052231,0.675720448,0.46133004,0.719974608,0.984712254,1.122161132,1.789185597,1.731380107,1.903122084
22,0.86212336,0.850724828,0.680209317,0.47600871,0.488428522,0.340564865,1.102057842,1.715011358,1.753683969,1.632503683,1.746047338,1.661741871
23,1.245255068,0.731686187,0.710522049,0.446737918,0.404709528,0.367007976,1.516281979,2.276329398,2.109629819,1.36383176,1.244427612,1.204048134
24,1.287635596,0.954120169,1.127110077,0.46131909,0.652372253,0.525593429,1.304145914,1.601466308,1.475493472,1.293516958,1.34857385,1.515216757
25,1.374057612,1.119114316,1.32916616,0.513845072,0.701166057,0.522109036,1.244113149,1.378215693,1.465657448,1.04741297,0.727237447,1.247491744
26,1.345264713,0.907681642,0.91627524,0.673077387,0.627226131,0.491211815,0.738035646,1.119047525,1.562064025,0.492773415,0.512163864,0.788472054
27,1.219943024,0.85367726,0.967890742,0.59991795,0.497872952,0.39540153,0.567835823,0.729471621,1.125694562,0.295243999,0.561327384,0.816654346
28,-0.212439616,-0.200611034,-0.233561266,-0.311520905,-0.401287957,-0.361289581,-0.284149917,-0.435246987,-0.456117054,-0.441798061,-0.377217653,-0.35503837
29,-0.727812153,-0.790169638,-0.753751862,-0.179729967,-0.319421065,-0.233102341,-0.566000122,-0.5659236,-0.538713202,-0.498246084,-0.579111814,-0.568369089
30,-0.889366801,-0.612740965,-0.753670315,-0.214218653,-0.254464018,-0.18307237,-0.641734815,-0.659564725,-0.664646265,-0.454044,-0.513555788,-0.46390222
31,-0.426380879,-0.657954238,-0.556489008,-0.389204351,-0.273933551,-0.330161002,-0.587244259,-0.495564901,-0.761081395,-0.465086243,-0.722855918,-0.576769754
32,-0.767188766,-0.521011916,-0.674570404,-0.111134629,-0.178594209,-0.232199821,-0.279016708,-0.562290636,-0.639593061,-0.514257743,-0.711568184,-0.501911529
